"Date","CIK","Score"
"2019-03-19","1236982",""
"2019-03-15","1705110",""
"2019-02-01","1749973",""
"2019-01-10","80255",""
"2019-03-04","1714894",""
"2019-02-05","1681639",""
"2019-03-01","1209910",""
"2019-03-21","1035002",""
"2019-01-09","1093557",""
"2019-06-28","1667990",""
"2019-05-22","1184343",""
"2019-05-29","1697532",""
"2019-06-21","1644593",""
"2019-04-15","1671212",""
"2019-04-02","1504461",""
"2019-05-14","1099160",""
"2019-04-24","1326380",""
"2019-06-07","1718144",""
"2019-05-13","1318342",""
"2019-08-12","1775683",""
"2019-07-01","1474365",""
"2019-07-09","1619250",""
"2019-08-01","1597592",""
"2019-08-19","890975",""
"2019-07-15","1625791",""
"2019-08-30","1532230",""
"2019-09-17","1027596",""
"2019-09-19","1782526",""
"2019-09-10","70318",""
"2019-11-04","1572780",""
"2019-10-16","19617",""
"2019-10-29","879169",""
"2019-11-27","1064642",""
"2019-10-18","1665650",""
"2019-10-08","1786885",""
"2019-12-20","919567",""
"2019-10-03","1551869",""
"2019-12-12","1695804",""
"2019-11-13","1393066",""
"2020-03-31","1404281",""
"2020-02-19","1761679",""
"2020-03-02","1326160",""
"2020-03-11","1058811",""
"2020-03-20","1018399",""
"2020-02-12","895421",""
"2020-01-28","792858",""
"2020-01-28","1645583",""
"2020-02-12","102909",""
"2020-02-14","920148",""
"2020-05-22","1451190",""
"2020-04-15","793597",""
"2020-06-26","1385653",""
"2020-06-02","1398078",""
"2020-05-29","1575993",""
"2020-05-14","1802953",""
"2020-06-05","774412",""
"2020-05-28","1813120",""
"2020-05-11","1666268",""
"2020-06-30","1156906",""
"2020-08-04","1596706",""
"2020-07-28","1503123",""
"2020-07-02","876343",""
"2020-07-14","818479",""
"2020-07-20","707823",""
"2020-09-21","1719817",""
"2020-08-19","1456414",""
